id,wkt
gh388,SRID=4326;POINT(0.0009075 11.1008172)
gh389,SRID=4326;POINT(0.0050742 11.1008172)
gh390,SRID=4326;POINT(0.0092409 11.1008172)
gh391,SRID=4326;POINT(0.0134075 11.1008172)
gh392,SRID=4326;POINT(-0.4115925 11.0966506)
gh393,SRID=4326;POINT(-0.4074258 11.0966506)
gh394,SRID=4326;POINT(-0.4032591 11.0966506)
gh395,SRID=4326;POINT(-0.3990925 11.0966506)
gh396,SRID=4326;POINT(-0.3949258 11.0966506)
gh397,SRID=4326;POINT(-0.3907591 11.0966506)
gh398,SRID=4326;POINT(-0.3865925 11.0966506)
gh399,SRID=4326;POINT(-0.3824258 11.0966506)
gh400,SRID=4326;POINT(-0.3282591 11.0966506)
gh401,SRID=4326;POINT(-0.3240925 11.0966506)
gh402,SRID=4326;POINT(-0.2907591 11.0966506)
gh403,SRID=4326;POINT(-0.2782591 11.0966506)
gh404,SRID=4326;POINT(-0.2740925 11.0966506)
gh405,SRID=4326;POINT(-0.2699258 11.0966506)
gh406,SRID=4326;POINT(-0.2615925 11.0966506)
gh407,SRID=4326;POINT(-0.2574258 11.0966506)
gh408,SRID=4326;POINT(-0.2532591 11.0966506)
gh409,SRID=4326;POINT(-0.2490925 11.0966506)
gh410,SRID=4326;POINT(-0.2449258 11.0966506)
gh411,SRID=4326;POINT(-0.2407591 11.0966506)
gh412,SRID=4326;POINT(-0.2365925 11.0966506)
gh413,SRID=4326;POINT(-0.2324258 11.0966506)
gh414,SRID=4326;POINT(-0.2282591 11.0966506)
gh415,SRID=4326;POINT(-0.2240925 11.0966506)
gh416,SRID=4326;POINT(-0.2199258 11.0966506)
gh417,SRID=4326;POINT(-0.2157591 11.0966506)
gh418,SRID=4326;POINT(-0.2074258 11.0966506)
gh419,SRID=4326;POINT(-0.2032591 11.0966506)
gh420,SRID=4326;POINT(-0.1990925 11.0966506)
gh421,SRID=4326;POINT(-0.1949258 11.0966506)
gh422,SRID=4326;POINT(-0.1907591 11.0966506)
gh423,SRID=4326;POINT(-0.1865925 11.0966506)
gh424,SRID=4326;POINT(-0.1824258 11.0966506)
gh425,SRID=4326;POINT(-0.1782591 11.0966506)
gh426,SRID=4326;POINT(-0.1740925 11.0966506)
gh427,SRID=4326;POINT(-0.1699258 11.0966506)
gh428,SRID=4326;POINT(-0.1657591 11.0966506)
gh429,SRID=4326;POINT(-0.1615925 11.0966506)
gh430,SRID=4326;POINT(-0.1574258 11.0966506)
gh431,SRID=4326;POINT(-0.1490925 11.0966506)
gh432,SRID=4326;POINT(-0.1449258 11.0966506)
gh433,SRID=4326;POINT(-0.1407591 11.0966506)
gh434,SRID=4326;POINT(-0.1365925 11.0966506)
gh435,SRID=4326;POINT(-0.1324258 11.0966506)
gh436,SRID=4326;POINT(-0.1282591 11.0966506)
gh437,SRID=4326;POINT(-0.1240925 11.0966506)
gh438,SRID=4326;POINT(-0.0532591 11.0966506)
gh439,SRID=4326;POINT(-0.0407591 11.0966506)
gh440,SRID=4326;POINT(-0.0365925 11.0966506)
gh441,SRID=4326;POINT(-0.0240925 11.0966506)
gh442,SRID=4326;POINT(-0.0115925 11.0966506)
gh443,SRID=4326;POINT(-0.0074258 11.0966506)
gh444,SRID=4326;POINT(-0.0032591 11.0966506)
gh445,SRID=4326;POINT(0.0009075 11.0966506)
gh446,SRID=4326;POINT(0.0050742 11.0966506)
gh447,SRID=4326;POINT(0.0092409 11.0966506)
gh448,SRID=4326;POINT(0.0134075 11.0966506)
gh449,SRID=4326;POINT(-0.4199258 11.0924839)
gh450,SRID=4326;POINT(-0.4157591 11.0924839)
gh451,SRID=4326;POINT(-0.4115925 11.0924839)
gh452,SRID=4326;POINT(-0.4074258 11.0924839)
gh453,SRID=4326;POINT(-0.4032591 11.0924839)
gh454,SRID=4326;POINT(-0.3949258 11.0924839)
gh455,SRID=4326;POINT(-0.3907591 11.0924839)
gh456,SRID=4326;POINT(-0.3865925 11.0924839)
gh457,SRID=4326;POINT(-0.3199258 11.0924839)
gh458,SRID=4326;POINT(-0.3157591 11.0924839)
gh459,SRID=4326;POINT(-0.2907591 11.0924839)
gh460,SRID=4326;POINT(-0.2865925 11.0924839)
gh461,SRID=4326;POINT(-0.2824258 11.0924839)
gh462,SRID=4326;POINT(-0.2740925 11.0924839)
gh463,SRID=4326;POINT(-0.2699258 11.0924839)
gh464,SRID=4326;POINT(-0.2657591 11.0924839)
gh465,SRID=4326;POINT(-0.2615925 11.0924839)
gh466,SRID=4326;POINT(-0.2574258 11.0924839)
gh467,SRID=4326;POINT(-0.2532591 11.0924839)
gh468,SRID=4326;POINT(-0.2407591 11.0924839)
gh469,SRID=4326;POINT(-0.2365925 11.0924839)
gh470,SRID=4326;POINT(-0.2324258 11.0924839)
gh471,SRID=4326;POINT(-0.2115925 11.0924839)
gh472,SRID=4326;POINT(-0.2074258 11.0924839)
gh473,SRID=4326;POINT(-0.2032591 11.0924839)
gh474,SRID=4326;POINT(-0.1990925 11.0924839)
gh475,SRID=4326;POINT(-0.1949258 11.0924839)
gh476,SRID=4326;POINT(-0.1907591 11.0924839)
gh477,SRID=4326;POINT(-0.1865925 11.0924839)
gh478,SRID=4326;POINT(-0.1824258 11.0924839)
gh479,SRID=4326;POINT(-0.1740925 11.0924839)
gh480,SRID=4326;POINT(-0.1699258 11.0924839)
gh481,SRID=4326;POINT(-0.1615925 11.0924839)
